Kind,Name,File,CountLineCode,Cyclomatic,SumCyclomatic
Static Function,"BytesFromLead",UniConversion.cxx,13,5,
Class,"CRC16",Crc16.h,32,,7
Public Function,"CRC16::CRC16",Crc16.h,1,1,
Public Function,"CRC16::calculate",Crc16.h,14,2,
Private Function Template,"CRC16::reverseByte",Crc16.h,10,3,
Public Function,"CRC16::~CRC16",Crc16.h,1,1,
Class,"CRC16_ISO_3309",Crc16.h,32,,7
Public Function,"CRC16_ISO_3309::CRC16_ISO_3309",Crc16.h,2,1,
Public Function,"CRC16_ISO_3309::calculate",Crc16.h,18,4,
Public Function,"CRC16_ISO_3309::set",Crc16.h,4,1,
Public Function,"CRC16_ISO_3309::~CRC16_ISO_3309",Crc16.h,1,1,
Class,"CReadDirectoryChanges",ReadDirectoryChanges.h,80,,14
Public Function,"CReadDirectoryChanges::AddDirectory",ReadDirectoryChanges.cpp,7,2,
Public Function,"CReadDirectoryChanges::CReadDirectoryChanges",ReadDirectoryChanges.cpp,7,1,
Public Function,"CReadDirectoryChanges::CheckOverflow",ReadDirectoryChanges.cpp,7,2,
Public Function,"CReadDirectoryChanges::GetThreadId",ReadDirectoryChanges.h,1,1,
Public Function,"CReadDirectoryChanges::GetWaitHandle",ReadDirectoryChanges.h,1,1,
Public Function,"CReadDirectoryChanges::Init",ReadDirectoryChanges.cpp,10,1,
Public Function,"CReadDirectoryChanges::Pop",ReadDirectoryChanges.cpp,9,2,
Public Function,"CReadDirectoryChanges::Push",ReadDirectoryChanges.cpp,5,1,
Public Function,"CReadDirectoryChanges::Terminate",ReadDirectoryChanges.cpp,11,2,
Public Function,"CReadDirectoryChanges::~CReadDirectoryChanges",ReadDirectoryChanges.cpp,5,1,
Class,"CShellExt",NppShell.h,537,,89
Public Function,"CShellExt::CShellExt",NppShell.cpp,62,8,
Public Function,"CShellExt::Extract",NppShell.cpp,126,11,
Public Function,"CShellExt::GetClassID",NppShell.h,1,1,
Public Function,"CShellExt::GetCommandString",NppShell.cpp,11,3,
Public Function,"CShellExt::GetCurFile",NppShell.h,1,1,
Public Function,"CShellExt::GetIconLocation",NppShell.cpp,21,4,
Public Function,"CShellExt::HandleMenuMsg",NppShell.h,1,1,
Public Function,"CShellExt::HandleMenuMsg2",NppShell.cpp,37,11,
Public Function,"CShellExt::Initialize",NppShell.cpp,11,3,
Public Function,"CShellExt::InvokeCommand",NppShell.cpp,14,3,
Private Function,"CShellExt::InvokeNPP",NppShell.cpp,95,13,
Public Function,"CShellExt::IsDirty",NppShell.h,1,1,
Public Function,"CShellExt::Load",NppShell.cpp,14,2,
Private Function,"CShellExt::LoadShellIcon",NppShell.cpp,18,4,
Public Function,"CShellExt::QueryContextMenu",NppShell.cpp,52,8,
Public Function,"CShellExt::QueryInterface",NppShell.cpp,23,9,
Public Function,"CShellExt::Save",NppShell.h,1,1,
Public Function,"CShellExt::SaveCompleted",NppShell.h,1,1,
Public Virtual Function,"CShellExt::~CShellExt",NppShell.cpp,10,4,
Class,"CShellExtClassFactory",NppShell.h,41,,8
Public Function,"CShellExtClassFactory::CShellExtClassFactory",NppShell.cpp,5,1,
Public Function,"CShellExtClassFactory::CreateInstance",NppShell.cpp,9,3,
Public Function,"CShellExtClassFactory::LockServer",NppShell.cpp,3,1,
Public Function,"CShellExtClassFactory::QueryInterface",NppShell.cpp,9,2,
Public Virtual Function,"CShellExtClassFactory::~CShellExtClassFactory",NppShell.cpp,3,1,
Class Template,"CThreadSafeQueue",ThreadSafeQueue.h,63,,12
Public Function,"CThreadSafeQueue::CThreadSafeQueue",ThreadSafeQueue.h,9,1,
